Run,Top_K,LASSO_Features,DODA_Features,Common_Feature_Count,LASSO_Feature_Count,DODA_Feature_Count,Same_Feature_Set,Jaccard_Agreement,Features_Added_by_DODA,Features_Removed_by_DODA
4,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
4,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
5,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
5,10,"area error, mean concave points, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",9,10,10,False,0.8181818181818182,mean radius,area error
5,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean concave points, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean compactness, mean concavity, mean perimeter, mean radius, mean smoothness","area error, compactness error, concave points error, concavity error, fractal dimension error"
5,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean smoothness, mean symmetry, perimeter error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
6,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
6,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
6,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
6,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
7,5,"mean concave points, worst concave points, worst radius, worst symmetry, worst texture","mean concave points, worst concave points, worst radius, worst symmetry, worst texture",5,5,5,True,1.0,,
7,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
7,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
7,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
8,5,"radius error, worst concave points, worst radius, worst symmetry, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",4,5,5,False,0.6666666666666666,mean concave points,worst symmetry
8,10,"area error, mean concave points, radius error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, radius error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",9,10,10,False,0.8181818181818182,mean radius,area error
8,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean concave points, radius error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean compactness, mean perimeter, mean radius, mean smoothness, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
8,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, radius error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",15,20,20,False,0.6,"mean smoothness, mean symmetry, mean texture, perimeter error, texture error","area error, compactness error, concave points error, concavity error, fractal dimension error"
9,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
9,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
9,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
9,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
10,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
10,10,"area error, compactness error, mean concave points, mean texture, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture",8,10,10,False,0.6666666666666666,"mean perimeter, mean radius","area error, compactness error"
10,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean texture, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture",10,15,15,False,0.5,"mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry","area error, compactness error, concave points error, concavity error, fractal dimension error"
10,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture",16,20,20,False,0.6666666666666666,"mean symmetry, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
11,5,"mean concave points, worst concave points, worst radius, worst symmetry, worst texture","mean concave points, worst concave points, worst radius, worst symmetry, worst texture",5,5,5,True,1.0,,
11,10,"area error, compactness error, concave points error, mean concave points, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
11,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
11,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, radius error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
12,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
12,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
12,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
12,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
13,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
13,10,"area error, compactness error, mean concave points, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",8,10,10,False,0.6666666666666666,"mean radius, mean texture","area error, compactness error"
13,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean concavity, mean perimeter, mean radius, mean smoothness, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
13,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean symmetry, mean texture, perimeter error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
14,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
14,10,"area error, compactness error, mean concave points, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",8,10,10,False,0.6666666666666666,"mean radius, mean texture","area error, compactness error"
14,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean concavity, mean perimeter, mean radius, mean smoothness, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
14,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean symmetry, mean texture, perimeter error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
15,5,"radius error, worst concave points, worst radius, worst smoothness, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",4,5,5,False,0.6666666666666666,mean concave points,worst smoothness
15,10,"area error, compactness error, concave points error, mean concave points, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture","mean concave points, mean perimeter, mean radius, mean texture, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture",7,10,10,False,0.5384615384615384,"mean perimeter, mean radius, mean texture","area error, compactness error, concave points error"
15,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture",10,15,15,False,0.5,"mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
15,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, smoothness error, texture error, worst concave points, worst perimeter, worst radius, worst smoothness, worst texture",16,20,20,False,0.6666666666666666,"mean texture, perimeter error, smoothness error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
16,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, radius error, worst concave points, worst radius, worst texture",5,5,5,True,1.0,,
16,10,"area error, compactness error, mean concave points, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",8,10,10,False,0.6666666666666666,"mean radius, mean texture","area error, compactness error"
16,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean concavity, mean perimeter, mean radius, mean smoothness, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
16,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean symmetry, mean texture, perimeter error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
17,5,"mean concave points, radius error, worst concave points, worst radius, worst texture","mean concave points, worst concave points, worst perimeter, worst radius, worst texture",4,5,5,False,0.6666666666666666,worst perimeter,radius error
17,10,"area error, compactness error, mean concave points, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, mean texture, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",8,10,10,False,0.6666666666666666,"mean radius, mean texture","area error, compactness error"
17,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean concavity, mean perimeter, mean radius, mean smoothness, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
17,20,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, radius error, worst concave points, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture","area error, mean area, mean compactness, mean concave points, mean concavity, mean fractal dimension, mean perimeter, mean radius, mean smoothness, mean symmetry, mean texture, perimeter error, radius error, texture error, worst concave points, worst perimeter, worst radius, worst smoothness, worst symmetry, worst texture",16,20,20,False,0.6666666666666666,"mean symmetry, mean texture, perimeter error, texture error","compactness error, concave points error, concavity error, fractal dimension error"
18,5,"mean concave points, worst concave points, worst radius, worst smoothness, worst texture","mean concave points, worst concave points, worst radius, worst smoothness, worst texture",5,5,5,True,1.0,,
18,10,"area error, compactness error, mean concave points, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean concave points, mean radius, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",8,10,10,False,0.6666666666666666,"mean radius, mean texture","area error, compactness error"
18,15,"area error, compactness error, concave points error, concavity error, fractal dimension error, mean area, mean compactness, mean concave points, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture","mean area, mean compactness, mean concave points, mean concavity, mean perimeter, mean radius, mean smoothness, mean texture, radius error, worst concave points, worst concavity, worst radius, worst smoothness, worst symmetry, worst texture",10,15,15,False,0.5,"mean concavity, mean perimeter, mean radius, mean smoothness, mean texture","area error, compactness error, concave points error, concavity error, fractal dimension error"
